message: Controller: Game Action: Games Time: 23166 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: GetGameCount Time: 23241 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: Details Time: 23459 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: /Game/game_80 |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: GetGameCount Time: 23514 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: /Game/game_80 |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: Comments Time: 23667 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: /Game/game_80/Comments |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: NewComment Time: 23668 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: /Game/game_80/Comments |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: GetGameCount Time: 23668 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: /Game/game_80/Comments |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: Games Time: 7554 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: GetGameCount Time: 7629 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: Games Time: 9300 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: GetGameCount Time: 14234 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: Details Time: 14392 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: /Game/game_80 |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: GetGameCount Time: 14393 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: /Game/game_80 |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: Comments Time: 14555 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: /Game/game_80/Comments |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: NewComment Time: 14556 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: /Game/game_80/Comments |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
